gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000015133.17,250.3117537,2.208098862,0.280752841,7.864920824,3.69331E-15,8.70646E-14,ENSMUSG00000015133,ENSMUSG00000015133,Lrrk1,protein coding gene
ENSMUSG00000015243.4,303.6955626,3.009979386,0.275905147,10.90947166,1.03858E-27,9.6212E-26,ENSMUSG00000015243,ENSMUSG00000015243,Abca1,protein coding gene
ENSMUSG00000015305.5,151.7298434,2.215285362,0.317931865,6.967799101,3.21937E-12,5.19526E-11,ENSMUSG00000015305,ENSMUSG00000015305,Sash1,protein coding gene
ENSMUSG00000015314.10,9.115571195,3.827214228,1.55976428,2.453713217,0.014138969,0.034981038,ENSMUSG00000015314,ENSMUSG00000015314,Slamf6,protein coding gene
ENSMUSG00000015468.14,94.6953837,2.052691188,0.42542022,4.825090801,1.39939E-06,9.62393E-06,ENSMUSG00000015468,ENSMUSG00000015468,Notch4,protein coding gene
ENSMUSG00000015501.10,179.5194244,2.387109441,0.297911214,8.012821707,1.12106E-15,2.80069E-14,ENSMUSG00000015501,ENSMUSG00000015501,Hivep2,protein coding gene
ENSMUSG00000015533.8,5.004629587,5.654701331,1.884262657,3.001015443,0.002690809,0.008389137,ENSMUSG00000015533,ENSMUSG00000015533,Itga2,protein coding gene
ENSMUSG00000015597.16,90.02404914,2.155155534,0.381892232,5.643360497,1.66763E-08,1.57812E-07,ENSMUSG00000015597,ENSMUSG00000015597,Zfp318,protein coding gene
ENSMUSG00000015627.5,26.02784108,2.099218663,0.852132038,2.463489894,0.013759177,0.034164703,ENSMUSG00000015627,ENSMUSG00000015627,Gata5,protein coding gene
ENSMUSG00000015647.9,462.0616192,2.260717878,0.260563524,8.676263815,4.08983E-18,1.43925E-16,ENSMUSG00000015647,ENSMUSG00000015647,Lama5,protein coding gene
ENSMUSG00000015653.13,28.92681993,2.840235459,0.879482782,3.229438388,0.001240336,0.004285661,ENSMUSG00000015653,ENSMUSG00000015653,Steap2,protein coding gene
ENSMUSG00000015659.12,42.04556408,3.111130096,0.629919652,4.938931631,7.85517E-07,5.67786E-06,ENSMUSG00000015659,ENSMUSG00000015659,Serac1,protein coding gene
ENSMUSG00000015850.11,117.3683716,2.204935792,0.359197028,6.138513468,8.32973E-10,9.60665E-09,ENSMUSG00000015850,ENSMUSG00000015850,Adamtsl4,protein coding gene
ENSMUSG00000015957.12,10.19131726,2.580066574,1.01313388,2.546619578,0.010877194,0.028044734,ENSMUSG00000015957,ENSMUSG00000015957,Wnt11,protein coding gene
ENSMUSG00000015968.16,173.5475623,2.741375258,0.402683499,6.80776655,9.91255E-12,1.50205E-10,ENSMUSG00000015968,ENSMUSG00000015968,Cacna1d,protein coding gene
ENSMUSG00000016028.9,1461.842957,2.900155877,0.213772557,13.56654901,6.32296E-42,1.97024E-39,ENSMUSG00000016028,ENSMUSG00000016028,Celsr1,protein coding gene
ENSMUSG00000016239.11,13.44539966,2.303291747,0.947650249,2.430529353,0.015076785,0.036891196,ENSMUSG00000016239,ENSMUSG00000016239,Lonrf3,protein coding gene
ENSMUSG00000016356.17,62.9194721,2.264143365,0.526605296,4.299507398,1.71178E-05,9.44511E-05,ENSMUSG00000016356,ENSMUSG00000016356,Col20a1,protein coding gene
ENSMUSG00000016458.13,170.9653271,3.457254865,0.542481014,6.373043064,1.85314E-10,2.33523E-09,ENSMUSG00000016458,ENSMUSG00000016458,Wt1,protein coding gene
ENSMUSG00000016520.7,241.6907627,2.24794118,0.273330265,8.224267367,1.96388E-16,5.50849E-15,ENSMUSG00000016520,ENSMUSG00000016520,Lnx2,protein coding gene
ENSMUSG00000017167.6,19.58608909,3.565994487,0.863081756,4.13169953,3.60091E-05,0.000184823,ENSMUSG00000017167,ENSMUSG00000017167,Cntnap1,protein coding gene
ENSMUSG00000017446.14,32.45634023,2.393944126,0.738306914,3.242478273,0.00118495,0.004122548,ENSMUSG00000017446,ENSMUSG00000017446,C1qtnf1,protein coding gene
ENSMUSG00000017550.14,9.228177029,2.951201422,1.158752597,2.546877936,0.010869144,0.028028197,ENSMUSG00000017550,ENSMUSG00000017550,Atad5,protein coding gene
ENSMUSG00000017740.17,12.4522357,2.481158404,0.999371886,2.482717834,0.013038432,0.032716347,ENSMUSG00000017740,ENSMUSG00000017740,Slc12a5,protein coding gene
ENSMUSG00000017861.11,10.17306061,3.129626492,1.072759796,2.917359976,0.003530081,0.010624961,ENSMUSG00000017861,ENSMUSG00000017861,Mybl2,protein coding gene
ENSMUSG00000018001.18,108.9109408,2.051790871,0.365281267,5.617016412,1.94283E-08,1.81748E-07,ENSMUSG00000018001,ENSMUSG00000018001,Cyth3,protein coding gene
ENSMUSG00000018068.13,32.78141861,2.355617588,0.583378733,4.037887321,5.39347E-05,0.000265537,ENSMUSG00000018068,ENSMUSG00000018068,Ints2,protein coding gene
ENSMUSG00000018076.12,332.9578488,3.920494042,0.301732418,12.99328081,1.33576E-38,3.22426E-36,ENSMUSG00000018076,ENSMUSG00000018076,Med13l,protein coding gene
ENSMUSG00000018168.8,43.19986374,3.45719248,0.868849369,3.979047003,6.91921E-05,0.000330851,ENSMUSG00000018168,ENSMUSG00000018168,Ikzf3,protein coding gene
ENSMUSG00000018334.17,63.14684717,2.192044173,0.466475413,4.699163367,2.61229E-06,1.71137E-05,ENSMUSG00000018334,ENSMUSG00000018334,Ksr1,protein coding gene
ENSMUSG00000018412.16,202.7094661,2.05599083,0.301912458,6.809890666,9.76729E-12,1.48397E-10,ENSMUSG00000018412,ENSMUSG00000018412,Kansl1,protein coding gene
ENSMUSG00000018476.7,257.2972682,2.345761992,0.275350535,8.519184444,1.60681E-17,5.19575E-16,ENSMUSG00000018476,ENSMUSG00000018476,Kdm6b,protein coding gene
ENSMUSG00000018501.17,529.5458202,2.04477336,0.212587882,9.618485046,6.68078E-22,3.41777E-20,ENSMUSG00000018501,ENSMUSG00000018501,Ncor1,protein coding gene
ENSMUSG00000018507.16,21.04984898,2.054833876,0.792851713,2.591700115,0.009550298,0.025110925,ENSMUSG00000018507,ENSMUSG00000018507,Trpv2,protein coding gene
ENSMUSG00000018654.17,59.36560016,3.532767967,1.49160905,2.36842755,0.017863879,0.0425269,ENSMUSG00000018654,ENSMUSG00000018654,Ikzf1,protein coding gene
ENSMUSG00000018678.13,76.24571785,2.710690847,0.411943745,6.580245192,4.69673E-11,6.48088E-10,ENSMUSG00000018678,ENSMUSG00000018678,Sp2,protein coding gene
ENSMUSG00000018707.13,1743.56548,2.041541925,0.195797158,10.42682103,1.87042E-25,1.34686E-23,ENSMUSG00000018707,ENSMUSG00000018707,Dync1h1,protein coding gene
ENSMUSG00000018727.19,6.934650727,3.212694367,1.391577101,2.308671481,0.020961818,0.048539878,ENSMUSG00000018727,ENSMUSG00000018727,Cpsf4l,protein coding gene
ENSMUSG00000019577.6,9.577883841,3.247433662,1.192332966,2.723596306,0.006457539,0.017939584,ENSMUSG00000019577,ENSMUSG00000019577,Pdk4,protein coding gene
ENSMUSG00000019647.16,44.54308202,2.00186617,0.491732964,4.071043258,4.68031E-05,0.000234193,ENSMUSG00000019647,ENSMUSG00000019647,Sema6a,protein coding gene
ENSMUSG00000019726.10,163.3767479,4.679755831,0.421765042,11.09564655,1.31704E-28,1.35973E-26,ENSMUSG00000019726,ENSMUSG00000019726,Lyst,protein coding gene
ENSMUSG00000019768.16,12.5009029,3.660600341,1.116294602,3.279242176,0.001040863,0.003690175,ENSMUSG00000019768,ENSMUSG00000019768,Esr1,protein coding gene
