gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000017778.14,386.9393243,-3.776708378,0.29132843,-12.96374809,1.96411E-38,4.61108E-36,ENSMUSG00000017778,ENSMUSG00000017778,Cox7c,protein coding gene
ENSMUSG00000018189.12,139.7970942,-2.966915673,0.342524392,-8.661910641,4.63922E-18,1.62591E-16,ENSMUSG00000018189,ENSMUSG00000018189,Uchl5,protein coding gene
ENSMUSG00000018362.14,56.23514274,-2.034775532,0.482112973,-4.220536771,2.43721E-05,0.000130365,ENSMUSG00000018362,ENSMUSG00000018362,Kpna2,protein coding gene
ENSMUSG00000018446.8,143.5484917,-2.298031145,0.298406799,-7.701001282,1.35004E-14,3.00871E-13,ENSMUSG00000018446,ENSMUSG00000018446,C1qbp,protein coding gene
ENSMUSG00000018567.14,1214.160261,-2.729152438,0.233136798,-11.70622767,1.18433E-31,1.50348E-29,ENSMUSG00000018567,ENSMUSG00000018567,Gabarap,protein coding gene
ENSMUSG00000018569.12,150.7205509,-2.110700569,0.32635217,-6.467554886,9.96014E-11,1.30402E-09,ENSMUSG00000018569,ENSMUSG00000018569,Cldn7,protein coding gene
ENSMUSG00000018761.14,130.3059669,-2.856068868,0.370293928,-7.712977855,1.22915E-14,2.74287E-13,ENSMUSG00000018761,ENSMUSG00000018761,Mpdu1,protein coding gene
ENSMUSG00000018770.9,545.8690394,-3.001318832,0.251827152,-11.91817011,9.5176E-33,1.31542E-30,ENSMUSG00000018770,ENSMUSG00000018770,Atp5mc3,protein coding gene
ENSMUSG00000018858.15,127.1305163,-2.778228641,0.367638063,-7.55696682,4.12577E-14,8.5706E-13,ENSMUSG00000018858,ENSMUSG00000018858,Mrpl58,protein coding gene
ENSMUSG00000018965.11,108.2628145,-2.425007687,0.453626641,-5.345822905,9.00072E-08,7.61374E-07,ENSMUSG00000018965,ENSMUSG00000018965,Ywhah,protein coding gene
ENSMUSG00000019158.9,425.8279707,-2.714998911,0.369349125,-7.350765783,1.97074E-13,3.70336E-12,ENSMUSG00000019158,ENSMUSG00000019158,Tmem160,protein coding gene
ENSMUSG00000019210.10,176.660993,-2.191339808,0.310372367,-7.060357312,1.66075E-12,2.77682E-11,ENSMUSG00000019210,ENSMUSG00000019210,Atp6v1e1,protein coding gene
ENSMUSG00000019362.8,323.6398848,-2.583922377,0.330948177,-7.807634416,5.82713E-15,1.34408E-13,ENSMUSG00000019362,ENSMUSG00000019362,D8Ertd738e,protein coding gene
ENSMUSG00000019494.14,262.874048,-3.080926483,0.321585737,-9.580420182,9.66509E-22,4.91514E-20,ENSMUSG00000019494,ENSMUSG00000019494,Cops6,protein coding gene
ENSMUSG00000019578.11,240.6086333,-2.083742741,0.283177097,-7.358443753,1.86067E-13,3.52355E-12,ENSMUSG00000019578,ENSMUSG00000019578,Ubxn6,protein coding gene
