gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000067653.12,23.73672982,2.692999562,0.639399293,4.211764998,2.53383E-05,0.000103562,ENSMUSG00000067653,ENSMUSG00000067653,Ankrd23,protein coding gene
ENSMUSG00000049097.9,15.47740748,2.12335097,0.738247623,2.876204277,0.004024891,0.009924435,ENSMUSG00000049097,ENSMUSG00000049097,Ankrd34a,protein coding gene
ENSMUSG00000066191.11,213.9197228,2.136876006,0.287714171,7.427079439,1.11022E-13,1.42667E-12,ENSMUSG00000066191,ENSMUSG00000066191,Anks6,protein coding gene
ENSMUSG00000062444.14,94.19470651,3.553580349,0.438765104,8.099049614,5.53902E-16,9.06263E-15,ENSMUSG00000062444,ENSMUSG00000062444,Ap3b2,protein coding gene
ENSMUSG00000049562.5,292.215929,2.384750941,0.318082014,7.497283209,6.51541E-14,8.55617E-13,ENSMUSG00000049562,ENSMUSG00000049562,Ap5b1,protein coding gene
ENSMUSG00000020135.13,104.5283236,3.794455739,0.41039174,9.24593593,2.33191E-20,5.86728E-19,ENSMUSG00000020135,ENSMUSG00000020135,Apc2,protein coding gene
ENSMUSG00000019852.6,1493.994515,4.417987563,0.227429963,19.42570587,4.67908E-84,5.76876E-81,ENSMUSG00000019852,ENSMUSG00000019852,Arfgef3,protein coding gene
ENSMUSG00000036882.7,61.51806954,2.146910133,0.505367693,4.248214048,2.15481E-05,8.96798E-05,ENSMUSG00000036882,ENSMUSG00000036882,Arhgap33,protein coding gene
ENSMUSG00000033697.15,422.0835283,2.593302116,0.236154715,10.98136921,4.69749E-28,2.34611E-26,ENSMUSG00000033697,ENSMUSG00000033697,Arhgap39,protein coding gene
ENSMUSG00000031355.16,139.2025222,2.022114394,0.296035101,6.830657534,8.45263E-12,8.84025E-11,ENSMUSG00000031355,ENSMUSG00000031355,Arhgap6,protein coding gene
ENSMUSG00000032875.8,866.6794286,2.359131528,0.230081689,10.25345187,1.14191E-24,4.32009E-23,ENSMUSG00000032875,ENSMUSG00000032875,Arhgef17,protein coding gene
ENSMUSG00000069729.13,1212.128811,2.187237152,0.175575045,12.4575628,1.27199E-35,1.09261E-33,ENSMUSG00000069729,ENSMUSG00000069729,Arid1b,protein coding gene
